b,g,r,label
36,28,240,0
172,100,184,14
172,92,152,13
148,44,136,12
156,60,96,11
156,68,56,10
188,116,80,9
212,172,8,8
108,180,8,7
36,4,200,1
44,4,240,2
108,108,256,3
4,132,256,4
76,172,256,5
4,220,256,6
76,212,168,7
76,180,64,8
236,164,88,9
188,116,16,10
148,60,48,11
100,36,40,12
148,44,104,13
140,36,152,14
60,4,200,1
12,4,216,2
4,20,224,3
4,56,208,4
4,116,192,5
4,148,172,6
4,156,176,6
4,188,164,7
4,180,164,7
4,204,156,7
4,188,156,7
4,196,160,7
26,172,103,8
28,172,82,8
27,172,92,8
28,164,76,8
28,164,68,8
20,180,132,8
44,148,52,9
52,135,52,9
52,132,44,9
36,148,52,9
40,136,56,9
48,148,56,9
92,84,36,10
80,100,36,10
76,108,39,10
68,116,44,10
68,108,44,10
84,92,36,10
88,108,40,10
80,96,44,10
126,44,20,11
108,68,28,11
124,52,20,11
116,60,28,11
108,76,28,11
116,52,20,11
116,52,28,11
128,64,24,11
120,60,28,11
148,28,12,12
140,36,20,12
148,20,20,12
156,20,12,12
140,28,20,12
156,20,20,12
148,28,20,12
152,20,20,12
140,4,4,13
140,4,8,13
116,12,8,14
36,28,248,0
36,92,232,1
20,204,256,2
28,244,256,3
52,220,192,4
68,204,144,5
76,188,88,6
84,180,56,7
116,188,40,8
188,196,16,9
216,156,76,10
212,148,80,10
172,84,64,11
172,84,96,12
